Untitled_Curation_15_04_2026
title;authors;pmid;pmcid;doi;articleYear;journal;articleLink;source;status;exclusion;tags;neurostoreId
Examination of brain area volumes based on voxel-based morphometry and multidomain cognitive impairment in asymptomatic unilateral carotid artery stenosis;"Duan W; Lu L; Cui C; Shu T; Duan D";37009454;PMC10050734;10.3389/fnagi.2023.1128380;2023;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/37009454;Neurostore;Screening;Irrelevant;;c7eeAHj6XJa5
Selective visuoconstructional impairment following mild COVID-19 with inflammatory and neuroimaging correlation findings;"de Paula JJ; Paiva RERP; Souza-Silva NG; Rosa DV; Duran FLS; Coimbra RS; Costa DS; Dutenhefner PR; Oliveira HSD; Camargos ST; Vasconcelos HMM; de Oliveira Carvalho N; da Silva JB; Silveira MB; Malamut C; Oliveira DM; Molinari LC; de Oliveira DB; Januário JN; Silva LC; De Marco LA; Queiroz DMM; Meira W; Busatto G; Miranda DM; Romano-Silva MA";35701598;PMC9196149;10.1038/s41380-022-01632-5;2022;Mol Psychiatry;https://pubmed.ncbi.nlm.nih.gov/35701598;Neurostore;Screening;Irrelevant;;xbEmxr3TBSDg
Connectivity Features for Identifying Cognitive Impairment in Presymptomatic Carotid Stenosis;Lin CJ, Tu PC, Chern CM, Hsiao FJ, Chang FC, Cheng HL, Tang CW, Lee YC, Chen WT, Lee IH;24454868;PMC3893296;10.1371/journal.pone.0085441;2014;PloS one;https://pubmed.ncbi.nlm.nih.gov/24454868;Neurostore;Screening;Irrelevant;;5PMtXnk74ZST
Brain perfusion SPECT with an automated quantitative tool can identify prodromal Alzheimer's disease among patients with mild cognitive impairment;"Habert, Marie-Odile;Horn, Jean-Francois;Sarazin, Marie;Lotterie, Jean-Albert;Puel, Michele;Onen, Fannie;Zanca, Michel;Portet, Florence;Touchon, Jacques;Verny, Marc;Mahieux, Florence;Giron, Alain;Fertil, Bernard;Dubois, Bruno";19250707;;10.1016/j.neurobiolaging.2009.01.013;2011;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/19250707;Neurostore;Screening;Irrelevant;;6ec7oTfHhfVf
Static and dynamic brain functional connectivity patterns in patients with unilateral moderate-to-severe asymptomatic carotid stenosis;"Wang, Junjun; Song, Linfeng; Tian, Binlin; Yang, Li; Gu, Xiaoyu; Chen, Xu; Gao, Lei; Jiang, Lin";39881682;11774917;10.3389/fnagi.2024.1497874;2024;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/39881682;Neurostore;Screening;Irrelevant;;mWN6cBx92f4T
Spontaneous brain activity in adult patients with moyamoya disease: a resting-state fMRI study;Lei Y, Li Y, Ni W, Jiang H, Yang Z, Guo Q, Gu Y, Mao Y;24380677;;10.1016/j.brainres.2013.12.022;2013;Brain research;https://pubmed.ncbi.nlm.nih.gov/24380677;Neurostore;Screening;Irrelevant;;492GKP5CuwTz
Aggregation of Vascular Risk Factors Modulates the Amplitude of Low-Frequency Fluctuation in Mild Cognitive Impairment Patients;"Zhuang L; Ni H; Wang J; Liu X; Lin Y; Su Y; Zhang K; Li Y; Peng G; Luo B";33408627;PMC7779477;10.3389/fnagi.2020.604246;2020;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/33408627;Neurostore;Screening;Irrelevant;;STTXiU7wGggf
Applying Retinal Vascular Structures Characteristics Coupling with Cortical Visual System in Alzheimer’s Disease Spectrum Patients;"Wang, Lianlian; Hu, Zheqi; Chen, Haifeng; Sheng, Xiaoning; Qin, Ruomeng; Shao, Pengfei; Yang, Zhiyuan; Yao, Weina; Zhao, Hui; Xu, Yun; Bai, Feng";36831883;PMC9954049;10.3390/brainsci13020339;2023;Brain Sci;https://pubmed.ncbi.nlm.nih.gov/36831883;Neurostore;Screening;Irrelevant;;mjVhrhydtXuP
Neurofilament relates to white matter microstructure in older adults.;"Moore, Elizabeth E;Hohman, Timothy J;Badami, Faizan S;Pechman, Kimberly R;Osborn, Katie E;Acosta, Lealani Mae Y;Bell, Susan P;Babicz, Michelle A;Gifford, Katherine A;Anderson, Adam W;Goldstein, Lee E;Blennow, Kaj;Zetterberg, Henrik;Jefferson, Angela L";30036759;PMC6119102;10.1016/j.neurobiolaging.2018.06.023;2018;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/30036759;Neurostore;Screening;Irrelevant;;WvravPjJnPQG
Multiple markers contribute to risk of progression from normal to mild cognitive impairment.;Jennifer S Rabin, Taylor E Neal, Hannah E Nierle, Sietske A M Sikkes, Rachel F Buckley, Rebecca E Amariglio, Kathryn V Papp, Dorene M Rentz, Aaron P Schultz, Keith A Johnson, Reisa A Sperling, Trey Hedden;32919366;PMC7491146;10.1016/j.nicl.2020.102400;2020;NeuroImage. Clinical;https://pubmed.ncbi.nlm.nih.gov/32919366;Neurostore;Screening;Irrelevant;;7weadb4Kzddv
Combined omega-3 fatty acids, aerobic exercise and cognitive stimulation prevents decline in gray matter volume of the frontal, parietal and cingulate cortex in patients with mild cognitive impairment;Kobe T, Witte AV, Schnelle A, Lesemann A, Fabian S, Tesky VA, Pantel J, Floel A;26433119;;10.1016/j.neuroimage.2015.09.050;2016;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/26433119;Neurostore;Screening;Irrelevant;;4pE9KzeuZ2C3
Disruption of Regional Brain Activity and Functional Connectivity in Patients with Asymptomatic Vulnerable Carotid Plaque.;Qing Huang, Yunhai Liu, Weihua Liao, Shuai Yang, Lu Shen, Tao Tang, Jie Feng, Jia Tuo, Lihui Liu, Xinglin Tan, Wei He;31751668;;10.1016/j.neulet.2019.134634;2019;Neuroscience letters;https://pubmed.ncbi.nlm.nih.gov/31751668;Neurostore;Screening;Irrelevant;;3rFFcTWbWgK5
The Impact of Aerobic Exercise on Fronto-Parietal Network Connectivity and Its Relation to Mobility: An Exploratory Analysis of a 6-Month Randomized Controlled  Trial.;Hsu CL, Best JR, Wang S, Voss MW, Hsiung RGY, Munkacsy M, Cheung W, Handy TC, Liu-Ambrose T;28713255;PMC5492161;10.3389/fnhum.2017.00344;2017;Frontiers in human neuroscience;https://pubmed.ncbi.nlm.nih.gov/28713255;Neurostore;Screening;Irrelevant;;6q3ZjhmMtoGc
White matter fractional anisotropy is related to processing speed in metabolic syndrome patients: a case-control study;"Segura, Barbara;Jurado, Maria Angeles;Freixenet, Nuria;Bargallo, Nuria;Junque, Carme;Arboix, Adria";20663196;PMC2920865;10.1186/1471-2377-10-64;2010;BMC neurology;https://pubmed.ncbi.nlm.nih.gov/20663196;Neurostore;Screening;Irrelevant;;3rAVoViXAEGz
The Association of Retinal Microvasculature With Gray Matter Changes and Structural Covariance Network: A Voxel-Based Morphometry Study;"Liu J; Tao W; Guo X; Kwapong WR; Ye C; Wang A; Wu X; Wang Z; Liu M";38153752;PMC10756243;10.1167/iovs.64.15.40;2023;Invest Ophthalmol Vis Sci;https://pubmed.ncbi.nlm.nih.gov/38153752;Neurostore;Screening;Irrelevant;;xthsGNfwWnWb
Altered neurovascular coupling in neuromyelitis optica.;"Guo, Xi;Zhu, Jiajia;Zhang, Ningnannan;Zhang, Linjie;Qi, Yuan;Cai, Huanhuan;Zhang, Xue;Sun, Jie;Wang, Qiuhui;Yang, Li;Shi, Fu-Dong;Yu, Chunshui";30315685;PMC6865682;10.1002/hbm.24426;2018;Human brain mapping;https://pubmed.ncbi.nlm.nih.gov/30315685;Neurostore;Screening;Irrelevant;;uaGF9YUs4nZQ
Structural and functional changes of the visual cortex in early Huntington's disease;"Coppen, Emma M.; van der Grond, Jeroen; Hafkemeijer, Anne; Barkey Wolf, Jurriaan J. H.; Roos, Raymund A. C.";30144208;PMC6866293;10.1002/hbm.24322;2018;Hum Brain Mapp;https://pubmed.ncbi.nlm.nih.gov/30144208;Neurostore;Screening;Irrelevant;;hdQ7goBrStKs
Higher Brain Perfusion May Not Support Memory Functions in Cognitively Normal Carriers of the ApoE ε4 Allele Compared to Non-Carriers;"Zlatar ZZ; Bischoff-Grethe A; Hays CC; Liu TT; Meloy MJ; Rissman RA; Bondi MW; Wierenga CE";27445794;PMC4919360;10.3389/fnagi.2016.00151;2016;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/27445794;Neurostore;Screening;Irrelevant;;2vKNu9jJUhfh
Grey matter abnormalities are associated only with severe cognitive decline in early stages of Parkinson's disease.;"Wolters, Amée F;Moonen, Anja J H;Lopes, Renaud;Leentjens, Albert F G;Duits, Annelien A;Defebvre, Luc;Delmaire, Christine;Hofman, Paul A;van Bussel, Frank C;Dujardin, Kathy";31733342;;10.1016/j.cortex.2019.09.015;2019;"Cortex; a journal devoted to the study of the nervous system and behavior";https://pubmed.ncbi.nlm.nih.gov/31733342;Neurostore;Screening;Irrelevant;;B9GTHRvoxgwQ
The D-allele of ACE insertion/deletion polymorphism is associated with regional white matter volume changes and cognitive impairment in remitted geriatric depression;Zhenghua Hou, Yonggui Yuan, Zhijun Zhang, Gang Hou, Jiayong You, Feng Bai;20639003;;10.1016/j.neulet.2010.05.076;2010;Neuroscience letters;https://pubmed.ncbi.nlm.nih.gov/20639003;Neurostore;Screening;Irrelevant;;4q7BJML48CUe
Evaluation of the cognitive outcome after out-of-hospital cardiac arrest: The role of thalamus.;"Carlier, Jasmine;Le Goff, Floriane;Pouliquen, Dorothée;Bliaux, Evangéline;Bioux, Sandrine;Gerardin, Emmanuel;Cruypeninck, Yohann;Segobin, Shailendra;Savouré, Arnaud;Martinaud, Olivier";37066486;;10.1111/ejn.15978;2023;The European journal of neuroscience;https://pubmed.ncbi.nlm.nih.gov/37066486;Neurostore;Screening;Irrelevant;;mtfPNsKtLppx
Impaired Cerebrovascular Function in Coronary Artery Disease Patients and Recovery Following Cardiac Rehabilitation;"Anazodo UC; Shoemaker JK; Suskin N; Ssali T; Wang DJ; St Lawrence KS";26779011;PMC4700211;10.3389/fnagi.2015.00224;2015;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/26779011;Neurostore;Screening;Irrelevant;;f2nYtJiQCmxi
Functional imaging of working memory and peripheral endothelial function in middle-aged adults.;Gonzales MM, Tarumi T, Tanaka H, Sugawara J, Swann-Sternberg T, Goudarzi K, Haley AP;20493622;PMC2891094;10.1016/j.bandc.2010.04.007;2010;Brain and cognition;https://pubmed.ncbi.nlm.nih.gov/20493622;Neurostore;Screening;Irrelevant;;7SeSZ6tTGgJM
Altered neurovascular coupling in children with idiopathic generalized epilepsy;"Hu, Jie; Ran, Haifeng; Chen, Guiqin; He, Yulun; Li, Qinghui; Liu, Junwei; Li, Fangling; Liu, Heng; Zhang, Tijiang";36480481;PMC9873522;10.1111/cns.14039;2022;CNS Neurosci Ther;https://pubmed.ncbi.nlm.nih.gov/36480481;Neurostore;Screening;Irrelevant;;yNHCg84bcFeq
A cerebellar role in performance monitoring – Evidence from EEG and voxel-based morphometry in patients with cerebellar degenerative disease;Jutta Peterburs, Markus Thürling, Martina Rustemeier, Sophia Göricke, Boris Suchan, Dagmar Timmann, Christian Bellebaum;25592368;;10.1016/j.neuropsychologia.2015.01.017;2015;Neuropsychologia;https://pubmed.ncbi.nlm.nih.gov/25592368;Neurostore;Screening;Irrelevant;;4jJiNJdq8R2k
Relationship between carotid intima‐media thickness (cIMT) and dual‐system imbalance in tobacco dependence: An rs‐fMRI research;"Tan, Qiaowen; Li, Shaoke; Yu, Mengqian; Zhao, Jingyi; Chi, Xiaosa; Han, Yan; Guo, Zongjun";37309087;PMC10338816;10.1002/brb3.3059;2023;Brain Behav;https://pubmed.ncbi.nlm.nih.gov/37309087;Neurostore;Screening;Irrelevant;;6FyWTSit3HbP
A feasibility study exploring the role of pre-operative assessment when examining the mechanism of ‘chemo-brain’ in breast cancer patients;"Jenkins V; Thwaites R; Cercignani M; Sacre S; Harrison N; Whiteley-Jones H; Mullen L; Chamberlain G; Davies K; Zammit C; Matthews L; Harder H";27047716;PMC4816933;10.1186/s40064-016-2030-y;2016;Springerplus;https://pubmed.ncbi.nlm.nih.gov/27047716;Neurostore;Screening;Irrelevant;;KkrjKQY7AUwT
Disturbed neurovascular coupling in hemodialysis patients;"Jin M; Wang L; Wang H; Han X; Diao Z; Guo W; Yang Z; Ding H; Wang Z; Zhang P; Zhao P; Lv H; Liu W; Wang Z";32328355;PMC7166048;10.7717/peerj.8989;2020;PeerJ;https://pubmed.ncbi.nlm.nih.gov/32328355;Neurostore;Screening;Irrelevant;;LKrydwnrFBTU
Cerebral white matter diffusion properties and free‐water with obstructive sleep apnea severity in older adults;"Baril AA; Gagnon K; Descoteaux M; Bedetti C; Chami S; Sanchez E; Montplaisir J; De Beaumont L; Gilbert D; Poirier J; Pelleieux S; Osorio RS; Carrier J; Gosselin N";32166865;PMC7294053;10.1002/hbm.24971;2020;Hum Brain Mapp;https://pubmed.ncbi.nlm.nih.gov/32166865;Neurostore;Screening;Irrelevant;;xDp7JwgMLNH2
White matter abnormalities in major depression: evidence from post-mortem, neuroimaging and genetic studies.;Ming Wei Tham, Puay San Woon, Min Yi Sum, Tih-Shih Lee, Kang Sim;20889213;;10.1016/j.jad.2010.09.013;2010;Journal of affective disorders;https://pubmed.ncbi.nlm.nih.gov/20889213;Neurostore;Screening;Irrelevant;;5kBmoymDqyLy
Impact of Apolipoprotein E4 Polymorphism on the Gray Matter Volume and the White Matter Integrity in Subjective Memory Impairment without White Matter Hyperintensities: Voxel-Based Morphometry and Tract-Based Spatial Statistics Study under 3-Tesla MRI.;"Lee, Young-Min;Ha, Ji-Kyung;Park, Je-Min;Lee, Byung-Dae;Moon, EunSoo;Chung, Young-In;Kim, Ji-Hoon;Kim, Hak-Jin;Mun, Chi-Woong;Kim, Tae-Hyung;Kim, Young-Hoon";25678236;;10.1111/jon.12207;2015;Journal of neuroimaging : official journal of the American Society of Neuroimaging;https://pubmed.ncbi.nlm.nih.gov/25678236;Neurostore;Screening;Irrelevant;;KYH6T4tUe3oT
Executive control function, brain activation and white matter hyperintensities in older adults;"Venkatraman, Vijay K;Aizenstein, Howard;Guralnik, Jack;Newman, Anne B;Glynn, Nancy W;Taylor, Christopher;Studenski, Stephanie;Launer, Lenore;Pahor, Marco;Williamson, Jeff;Rosano, Caterina";19922803;PMC2818521;10.1016/j.neuroimage.2009.11.019;2010;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/19922803;Neurostore;Screening;Irrelevant;;cxWHFmBXsHWM
Freezing of gait and white matter changes: a tract-based spatial statistics study;"Iseki, Kazumi;Fukuyama, Hidenao;Oishi, Naoya;Tomimoto, Hidekazu;Otsuka, Yoshinobu;Nankaku, Manabu;Benninger, David;Hallett, Mark;Hanakawa, Takashi";26788337;PMC4711070;10.1186/s40734-014-0011-2;2015;Journal of clinical movement disorders;https://pubmed.ncbi.nlm.nih.gov/26788337;Neurostore;Screening;Irrelevant;;bjZUkKD9BbCy
BRAIN ACTIVITY DURING BLADDER FILLING IS RELATED TO WHITE MATTER STRUCTURAL CHANGES IN OLDER WOMEN WITH URINARY INCONTINENCE;Tadic SD, Griffiths D, Murrin A, Schaefer W, Aizenstein HJ, Resnick NM;20302947;PMC2880617;10.1016/j.neuroimage.2010.03.016;2010;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/20302947;Neurostore;Screening;Irrelevant;;6z9rcr66pRgN
Enhanced Regional Homogeneity and Functional Connectivity in Subjects With White Matter Hyperintensities and Cognitive Impairment;"Ye Q; Chen X; Qin R; Huang L; Yang D; Liu R; Zhang B; Bai F; Xu Y";31333409;PMC6617843;10.3389/fnins.2019.00695;2019;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/31333409;Neurostore;Screening;Irrelevant;;wuY4k68WhQbT
Thalamic diffusion differences related to cognitive function in white matter lesions.;Marina Fernández-Andújar, Juan José Soriano-Raya, Júlia Miralbell, Elena López-Cancio, Cynthia Cáceres, Núria Bargalló, Maite Barrios, Juan Francisco Arenillas, Pere Toran, Maite Alzamora, Imma Clemente, Antoni Dávalos, Maria Mataró;24238657;;10.1016/j.neurobiolaging.2013.10.087;2013;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/24238657;Neurostore;Screening;Irrelevant;;3kLGJDXnV5cd
Risk Factors Associated with Cortical Thickness and White Matter Hyperintensities in Dementia Free Okinawan Elderly;"Silbert LC; Lahna D; Promjunyakul NO; Boespflug E; Ohya Y; Higashiuesato Y; Nishihira J; Katsumata Y; Tokashiki T; Dodge HH";29578488;PMC5900560;10.3233/JAD-171153;2018;J Alzheimers Dis;https://pubmed.ncbi.nlm.nih.gov/29578488;Neurostore;Screening;Irrelevant;;SuApXxvneSrE
Cross-sectional and longitudinal associations between total and regional white matter hyperintensity volume and cognitive and motor function in Parkinson's disease;"Pozorski V; Oh JM; Okonkwo O; Krislov S; Barzgari A; Theisen F; Sojkova J; Bendlin BB; Johnson SC; Gallagher CL";31150958;PMC6543018;10.1016/j.nicl.2019.101870;2019;Neuroimage Clin;https://pubmed.ncbi.nlm.nih.gov/31150958;Neurostore;Screening;Irrelevant;;8GPDZcBQbLbq
White Matter Changes Compromise Prefrontal Cortex Function in Healthy Elderly Individuals;"Nordahl, Christine Wu;Ranganath, Charan;Yonelinas, Andrew P;Decarli, Charles;Fletcher, Evan;Jagust, William J";16513006;PMC3776596;10.1162/089892906775990552;2006;Journal of cognitive neuroscience;https://pubmed.ncbi.nlm.nih.gov/16513006;Neurostore;Screening;Irrelevant;;6GkXjL6RyjEX
The association between white matter hyperintensities, cognition and regional neural activity in healthy subjects.;"Porcu, Michele;Cocco, Luigi;Cocozza, Sirio;Pontillo, Giuseppe;Operamolla, Annunziata;Defazio, Giovanni;Suri, Jasjit S;Brunetti, Arturo;Saba, Luca";34327745;;10.1111/ejn.15403;2021;The European journal of neuroscience;https://pubmed.ncbi.nlm.nih.gov/34327745;Neurostore;Screening;Irrelevant;;yEPYKnGeW4F3
Topographic patterns of white matter hyperintensities are associated with multimodal neuroimaging biomarkers of Alzheimer’s disease;"Gaubert M; Lange C; Garnier-Crussard A; Köbe T; Bougacha S; Gonneaud J; de Flores R; Tomadesso C; Mézenge F; Landeau B; de la Sayette V; Chételat G; Wirth M";33461618;PMC7814451;10.1186/s13195-020-00759-3;2021;Alzheimers Res Ther;https://pubmed.ncbi.nlm.nih.gov/33461618;Neurostore;Screening;Irrelevant;;F85kxTZe2Wcw
The Enhanced Interhemispheric Functional Connectivity in the Striatum Is Related to the Cognitive Impairment in Individuals With White Matter Hyperintensities;"Zhu H; Qin R; Cheng Y; Huang L; Shao P; Xu H; Xu Y; Ye Q";35837117;PMC9273905;10.3389/fnins.2022.899473;2022;Front Neurosci;https://pubmed.ncbi.nlm.nih.gov/35837117;Neurostore;Screening;Irrelevant;;KcJky6Hjozer
Density abnormalities in normal-appearing gray matter in the middle-aged brain with white matter hyperintense lesions: a DARTEL-enhanced voxel-based morphometry study;"Peng, Yan;Li, Shenhong;Zhuang, Ying;Liu, Xiaojia;Wu, Lin;Gong, Honghan;Liu, Dewu;Zhou, Fuqing";27274211;PMC4869624;10.2147/CIA.S98409;2016;Clinical interventions in aging;https://pubmed.ncbi.nlm.nih.gov/27274211;Neurostore;Screening;Irrelevant;;FAHwRPgbwsev
Specific risk factors for microbleeds and white matter hyperintensities in Alzheimer's disease.;Marije R Benedictus, Jeroen D C Goos, Maja A A Binnewijzend, Majon Muller, Frederik Barkhof, Philip Scheltens, Niels D Prins, Wiesje M van der Flier;23731952;;10.1016/j.neurobiolaging.2013.04.023;2013;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/23731952;Neurostore;Screening;Irrelevant;;5DyxGSJkUi8q
Abnormal Degree Centrality in White Matter Hyperintensities: A Resting-State Functional Magnetic Resonance Imaging Study;"Du, Baogen; Cao, Shanshan; Liu, Yuanyuan; Wei, Qiang; Zhang, Jun; Chen, Chen; Wang, Xiaojing; Mo, Yuting; Nie, Jiajia; Qiu, Bensheng; Hu, Panpan; Wang, Kai";34326785;PMC8315277;10.3389/fpsyt.2021.684553;2021;Front Psychiatry;https://pubmed.ncbi.nlm.nih.gov/34326785;Neurostore;Screening;Irrelevant;;LPgNgJ2aAWzu
Cortical Surface Thickness in the Middle-Aged Brain with White Matter Hyperintense Lesions;"Zhuang Y; Zeng X; Wang B; Huang M; Gong H; Zhou F";28769784;PMC5511819;10.3389/fnagi.2017.00225;2017;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/28769784;Neurostore;Screening;Irrelevant;;hmMZ229tuMrL
Associations of depressive symptoms with white matter abnormalities and regional cerebral blood flow in patients with amnestic mild cognitive impairment;"Hirao K; Yamashita F; Kato H; Kaneshiro K; Tsugawa A; Haime R; Fukasawa R; Sato T; Kanetaka H; Umahara T; Sakurai H; Hanyu H; Shimizu S";36058887;PMC9825903;10.1111/ggi.14467;2022;Geriatr Gerontol Int;https://pubmed.ncbi.nlm.nih.gov/36058887;Neurostore;Screening;Irrelevant;;Ec2yCRpZFm6s
The effect of midlife cardiovascular risk factors on white matter hyperintensity volume and cognition two decades later in normal ageing women.;"Aljondi, Rowa;Szoeke, Cassandra;Steward, Chris;Gorelik, Alexandra;Desmond, Patricia";30259291;;10.1007/s11682-018-9970-5;2020;Brain imaging and behavior;https://pubmed.ncbi.nlm.nih.gov/30259291;Neurostore;Screening;Irrelevant;;v9iC3sMZafrq
The flexibility of cognitive reserve in regulating the frontoparietal control network and cognitive function in subjects with white matter hyperintensities.;Huiping Chen, Huahong Zhu, Lili Huang, Haifeng Chen, Renyuan Liu, Ruomeng Qin, Pengfei Shao, Hengheng Xu, Junyi Ma, Yue Cheng, Yun Xu, Qing Ye;35257711;;10.1016/j.bbr.2022.113831;2022;Behavioural brain research;https://pubmed.ncbi.nlm.nih.gov/35257711;Neurostore;Screening;Irrelevant;;82xHEUyfnJt4
Visceral Obesity Relates to Deep White Matter Hyperintensities via Inflammation;Leonie Lampe, Rui Zhang, Frauke Beyer, Sebastian Huhn, Shahrzad Kharabian‐Masouleh, Sven Preusser, Pierre‐Louis Bazin, Matthias L. Schroeter, Arno Villringer and A. Veronica Witte;30556596;PMC6590485;10.1002/ana.25396;2019;Annals of Neurology;https://pubmed.ncbi.nlm.nih.gov/30556596;Neurostore;Screening;Irrelevant;;3orhHGgWuVJ9
White Matter Hyperintensity Load Modulates Brain Morphometry and Brain Connectivity in Healthy Adults: A Neuroplastic Mechanism?;"De Marco M; Manca R; Mitolo M; Venneri A";28845309;PMC5560090;10.1155/2017/4050536;2017;Neural Plast;https://pubmed.ncbi.nlm.nih.gov/28845309;Neurostore;Screening;Irrelevant;;HhW6Wc8m78pw
Age-dependent association of white matter abnormality with cognition after TIA or minor stroke;Giovanna Zamboni, Ludovica Griffanti, Sara Mazzucco, Sarah T. Pendlebury and Peter M. Rothwell;31201296;PMC6656647;10.1212/WNL.0000000000007772;2019;Neurology;https://pubmed.ncbi.nlm.nih.gov/31201296;Neurostore;Screening;Irrelevant;;4ULsbzzSJdNB
Understanding the association between psychomotor processing speed and white matter hyperintensity: A comprehensive multi‐modality MR imaging study;"Wang S; Jiaerken Y; Yu X; Shen Z; Luo X; Hong H; Sun J; Xu X; Zhang R; Zhou Y; Lou M; Huang P; Zhang M";31675160;PMC7267958;10.1002/hbm.24826;2019;Hum Brain Mapp;https://pubmed.ncbi.nlm.nih.gov/31675160;Neurostore;Screening;Irrelevant;;SfLAapTuCjge
Gray matter asymmetry in asymptomatic carotid stenosis;"Gao L; Xiao Y; Xu H";34498785;PMC8559457;10.1002/hbm.25645;2021;Hum Brain Mapp;https://pubmed.ncbi.nlm.nih.gov/34498785;Neurostore;Screening;Irrelevant;;Nik27MnG8HUj
The iron burden of cerebral microbleeds contributes to brain atrophy through the mediating effect of white matter hyperintensity.;"Lv, Ke;Liu, Yanzhen;Chen, Yongsheng;Buch, Sagar;Wang, Ying;Yu, Zhuo;Wang, Huiying;Zhao, Chenxi;Fu, Dingwei;Wang, Huapeng;Wang, Beini;Zhang, Shengtong;Luo, Yu;Haacke, E Mark;Shen, Wen;Chai, Chao;Xia, Shuang";37716591;;10.1016/j.neuroimage.2023.120370;2023;NeuroImage;https://pubmed.ncbi.nlm.nih.gov/37716591;Neurostore;Screening;Irrelevant;;YdcvDfH8Q5Gm
White matter hyperintensities and cognitive reserve during a working memory task: a functional magnetic resonance imaging study in cognitively normal older adults.;Fernandez-Cabello S, Valls-Pedret C, Schurz M, Vidal-Pineiro D, Sala-Llonch R, Bargallo N, Ros E, Bartres-Faz D;27636672;;10.1016/j.neurobiolaging.2016.08.008;2016;Neurobiology of aging;https://pubmed.ncbi.nlm.nih.gov/27636672;Neurostore;Screening;Irrelevant;;6gScTwhD7bxe
White-Matter Hyperintensity Load and Differences in Resting-State Network Connectivity Based on Mild Cognitive Impairment Subtype;"Vettore, Martina; De Marco, Matteo; Pallucca, Claudia; Bendini, Matteo; Gallucci, Maurizio; Venneri, Annalena";34690743;PMC8529279;10.3389/fnagi.2021.737359;2021;Front Aging Neurosci;https://pubmed.ncbi.nlm.nih.gov/34690743;Neurostore;Screening;Irrelevant;;igih2VpZNdKb
Alteration of regional homogeneity and white matter hyperintensities in amnestic  mild cognitive impairment subtypes are related to cognition and CSF biomarkers.;Luo X, Jiaerken Y, Huang P, Xu XJ, Qiu T, Jia Y, Shen Z, Guan X, Zhou J, Zhang M;28236166;;10.1007/s11682-017-9680-4;2018;Brain imaging and behavior;https://pubmed.ncbi.nlm.nih.gov/28236166;Neurostore;Screening;Irrelevant;;65XMf543uufM
Body Mass Index Correlates Negatively With White Matter Integrity in The Fornix And Corpus Callosum: A Diffusion Tensor Imaging Study;"Xu, Jiansong;Li, Yang;Lin, Haiqun;Sinha, Rajita;Potenza, Marc N";22139809;PMC3314715;10.1002/hbm.21491;2013;Human brain mapping;https://pubmed.ncbi.nlm.nih.gov/22139809;Neurostore;Screening;Irrelevant;;4iH5PGN4b7Td
Lesion location matters: The relationships between white matter hyperintensities on cognition in the healthy elderly;Leonie Lampe, Shahrzad Kharabian-Masouleh, Jana Kynast, Katrin Arelin, Christopher J Steele, Markus Löffler, A Veronica Witte, Matthias L Schroeter, Arno Villringer and Pierre-Louis Bazin;29106319;PMC6311671;10.1177/0271678X17740501;2019;Journal of Cerebral Blood Flow & Metabolism;https://pubmed.ncbi.nlm.nih.gov/29106319;Neurostore;Screening;Irrelevant;;654GQebjws7r
Associations between age and gray matter volume in anatomical brain networks in middle-aged to older adults;"Hafkemeijer, Anne;Altmann-Schneider, Irmhild;de Craen, Anton J M;Slagboom, P Eline;van der Grond, Jeroen;Rombouts, Serge A R B";25257192;PMC4326918;10.1111/acel.12271;2014;Aging cell;https://pubmed.ncbi.nlm.nih.gov/25257192;Neurostore;Screening;Irrelevant;;a3rApVH9sJDc
White Matter Hyperintensities of Bilateral Lenticular Putamen in Patients with Proliferative Diabetic Retinopathy: A Voxel‐based Morphometric Study;"Xiao A; Ge QM; Zhong HF; Zhang LJ; Shu HY; Liang RB; Shao Y; Zhou Q";34408460;PMC8366956;10.2147/DMSO.S321270;2021;Diabetes Metab Syndr Obes;https://pubmed.ncbi.nlm.nih.gov/34408460;Neurostore;Screening;Irrelevant;;iUgY79ZRdGaW
Less Daily Computer Use is Related to Smaller Hippocampal Volumes in Cognitively Intact Elderly;"Silbert LC; Dodge HH; Lahna D; Promjunyakul NO; Austin D; Mattek N; Erten-Lyons D; Kaye JA";26967228;PMC4866889;10.3233/JAD-160079;2016;J Alzheimers Dis;https://pubmed.ncbi.nlm.nih.gov/26967228;Neurostore;Screening;Irrelevant;;QtQZcUou2jBf
